GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coffee-machine,fr.imt.coffee.machine,EspressoCoffeeMachine,131,0,18,0,26,0,11,0,2,0
coffee-machine,fr.imt.coffee.machine,CoffeeMachine,164,105,13,5,40,25,21,9,13,8
coffee-machine,fr.imt.coffee,MainEspresso,103,0,0,0,32,0,3,0,3,0
coffee-machine,fr.imt.coffee,MainCoffee,109,0,0,0,34,0,3,0,3,0
coffee-machine,fr.imt.coffee.machine.component,BeanTank,14,9,0,0,6,3,3,1,3,1
coffee-machine,fr.imt.coffee.machine.component,WaterPump,36,10,0,0,8,4,2,2,2,2
coffee-machine,fr.imt.coffee.machine.component,WaterTank,0,6,0,0,0,2,0,1,0,1
coffee-machine,fr.imt.coffee.machine.component,Tank,20,15,0,0,6,6,4,2,4,2
coffee-machine,fr.imt.coffee.machine.component,SteamPipe,17,0,0,0,8,0,4,0,4,0
coffee-machine,fr.imt.coffee.machine.component,ElectricalResistance,3,44,0,0,1,10,1,3,1,3
coffee-machine,fr.imt.coffee.machine.component,CoffeeGrinder,28,10,0,0,6,4,1,2,1,2
coffee-machine,fr.imt.coffee.machine.exception,CannotMakeCremaWithSimpleCoffeeMachine,4,0,0,0,2,0,1,0,1,0
coffee-machine,fr.imt.coffee.machine.exception,CoffeeTypeCupDifferentOfCoffeeTypeTankException,4,0,0,0,2,0,1,0,1,0
coffee-machine,fr.imt.coffee.machine.exception,MachineNotPluggedException,4,0,0,0,2,0,1,0,1,0
coffee-machine,fr.imt.coffee.machine.exception,LackOfWaterInTankException,4,0,0,0,2,0,1,0,1,0
